song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
La Bomba,The Tokens,8,5X6VbizePQKSnt55YWWyGS,57,0.551,0.362,5,-13.443,1,0.0388,0.654,0.000264,0.126,0.865,125.865,153653,4
La Camisa Negra,Juanes,8,2EM9zpAc7PVeoAydmbfVIL,73,0.751,0.731,6,-4.419,0,0.0308,0.0838,0.0,0.0556,0.973,97.007,216707,4
La Cancion,J Balvin & Bad Bunny,8,2P2kJEIAXutA2J7DXW1Wux,38,0.756,0.646,7,-5.795,1,0.319,0.152,1.81e-05,0.108,0.429,176.088,242573,4
La Dificil,Bad Bunny,3,6NfrH0ANGmgBXyxgV2PeXt,77,0.685,0.848,8,-4.561,0,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,163084,4
La Dolce Vita (The Sweet Life),Ray Ellis And His Orchestra,8,5DWRSGiYqVTXSoOKRiRd23,1,0.449,0.439,2,-7.235,0,0.0288,0.696,0.968,0.698,0.616,113.097,160507,4
La Droga,Bad Bunny,9,67ACYA3UI6QMNtHX6b34wX,71,0.643,0.727,1,-5.506,1,0.0389,0.0439,0.0,0.123,0.295,90.019,162299,4
La Familia,Frost,7,3jL4onzSw31cbGqj44I2fu,29,0.833,0.704,4,-7.107,1,0.181,0.0351,0.000309,0.123,0.647,101.407,243800,4
La Grange,ZZ Top,4,70YvYr2hGlS01bKRIho1HM,77,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,230480,4
La Isla Bonita,Glee Cast Featuring Ricky Martin,9,6r8k1vznHrzlEKYxL4dZEe,72,0.724,0.822,1,-4.374,0,0.0333,0.304,1.38e-05,0.0553,0.964,99.9,242733,4
La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,9,1mohfLaTJtB2RplHLQVM70,71,0.815,0.715,4,-4.65,0,0.207,0.3,4.83e-06,0.091,0.786,176.007,345241,4
La La,Ashlee Simpson,8,0i3XYGG0zbHDjnuxO3Sads,44,0.534,0.909,11,-3.754,0,0.0793,8.45e-05,0.234,0.0922,0.455,129.979,222400,4
La La La,LMFAO,5,2sPva3d85R7yKf60y7QZpD,52,0.607,0.807,0,-6.548,0,0.126,0.0067,1.18e-06,0.251,0.565,128.046,210560,4
La La La,Auburn Featuring Iyaz,5,2pCR7dwwRpeAAnpUr1Ekwz,61,0.687,0.768,9,-5.898,1,0.215,0.685,0.000202,0.0904,0.519,159.009,167842,4
La La La,Naughty Boy Featuring Sam Smith,1,36pLU2ywVeBKEF0rrKtmCB,62,0.772,0.65,6,-5.202,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,222200,4
La La La,Gerry And The Pacemakers,8,3x7suPNmMkXGLBLMi0cFEg,12,0.473,0.69,4,-8.355,1,0.0429,0.196,0.0,0.0593,0.863,153.337,157733,4
La La La La La,The Blendells,6,7tpKhVU4RzCK8R6Ry0exhb,7,0.519,0.414,7,-18.432,1,0.0541,0.0362,0.000232,0.662,0.824,129.553,176507,4
La La Land,Demi Lovato,5,0M9VqYG0wVun054JIdwFO8,59,0.467,0.919,6,-2.255,0,0.069,0.0149,0.0,0.0193,0.706,169.987,196467,4
La La Land,Bryce Vine Featuring YG,7,4oM9DGUTrRaXJDypxxHztZ,62,0.774,0.473,1,-5.122,0,0.0569,0.221,0.0,0.222,0.416,97.953,177253,4
La La Love,Bobby Ross Avila,8,2TigcpMQspGHGAYJ6fdLc9,26,0.841,0.433,7,-12.206,0,0.0441,0.523,2.52e-06,0.121,0.857,101.454,213591,4
La La Means I Love You,Tierra,7,4dWWUmSucQJ1Zmxi3ctJka,8,0.568,0.361,7,-15.659,1,0.0348,0.698,0.00306,0.17,0.657,91.997,235749,4
La La Peace Song,O.C. Smith,6,1mgMTIxbHEByMj5j9UXOi3,10,0.805,0.498,5,-16.685,1,0.0548,0.109,3.28e-05,0.0289,0.963,110.395,237600,4
La La Peace Song,Al Wilson,2,09wsoxgIjNhZUOgPhMHg0W,21,0.687,0.596,7,-11.453,1,0.0808,0.729,0.135,0.109,0.791,95.725,202826,4
